Compound,Date,Negative,Neutral,Positive,Tweets Ago,UserName
-0.3134,Sun Dec 10 00:10:48 +0000 2017,0.094,0.906,0,1,@bbc
0,Sun Dec 10 00:10:26 +0000 2017,0,1,0,2,@bbc
0.875,Sun Dec 10 00:10:04 +0000 2017,0,0.607,0.393,3,@bbc
-0.3134,Sun Dec 10 00:09:49 +0000 2017,0.094,0.906,0,4,@bbc
0.5743,Sun Dec 10 00:09:34 +0000 2017,0,0.843,0.157,5,@bbc
0,Sun Dec 10 00:09:04 +0000 2017,0,1,0,6,@bbc
0,Sun Dec 10 00:08:44 +0000 2017,0,1,0,7,@bbc
0.5743,Sun Dec 10 00:08:44 +0000 2017,0,0.843,0.157,8,@bbc
0,Sun Dec 10 00:08:32 +0000 2017,0,1,0,9,@bbc
0.5859,Sun Dec 10 00:08:21 +0000 2017,0,0.714,0.286,10,@bbc
-0.3134,Sun Dec 10 00:07:57 +0000 2017,0.094,0.906,0,11,@bbc
0,Sun Dec 10 00:07:51 +0000 2017,0,1,0,12,@bbc
0.875,Sun Dec 10 00:07:26 +0000 2017,0,0.607,0.393,13,@bbc
0.875,Sun Dec 10 00:07:19 +0000 2017,0,0.607,0.393,14,@bbc
0.875,Sun Dec 10 00:07:10 +0000 2017,0,0.607,0.393,15,@bbc
0,Sun Dec 10 00:06:58 +0000 2017,0,1,0,16,@bbc
0,Sun Dec 10 00:06:32 +0000 2017,0,1,0,17,@bbc
-0.3134,Sun Dec 10 00:06:26 +0000 2017,0.094,0.906,0,18,@bbc
0,Sun Dec 10 00:06:13 +0000 2017,0,1,0,19,@bbc
0.6249,Sun Dec 10 00:06:11 +0000 2017,0,0.837,0.163,20,@bbc
-0.3134,Sun Dec 10 00:05:18 +0000 2017,0.094,0.906,0,21,@bbc
-0.3134,Sun Dec 10 00:05:05 +0000 2017,0.094,0.906,0,22,@bbc
0.5743,Sun Dec 10 00:05:00 +0000 2017,0,0.843,0.157,23,@bbc
0.875,Sun Dec 10 00:05:00 +0000 2017,0,0.607,0.393,24,@bbc
-0.3134,Sun Dec 10 00:04:41 +0000 2017,0.094,0.906,0,25,@bbc
0,Sun Dec 10 00:04:38 +0000 2017,0,1,0,26,@bbc
0.875,Sun Dec 10 00:04:14 +0000 2017,0,0.607,0.393,27,@bbc
0.1673,Sun Dec 10 00:03:54 +0000 2017,0,0.911,0.089,28,@bbc
0.655,Sun Dec 10 00:03:54 +0000 2017,0,0.737,0.263,29,@bbc
0,Sun Dec 10 00:03:43 +0000 2017,0,1,0,30,@bbc
0,Sun Dec 10 00:03:23 +0000 2017,0,1,0,31,@bbc
-0.25,Sun Dec 10 00:03:04 +0000 2017,0.129,0.781,0.09,32,@bbc
-0.4215,Sun Dec 10 00:02:45 +0000 2017,0.135,0.865,0,33,@bbc
-0.5904,Sun Dec 10 00:02:17 +0000 2017,0.228,0.772,0,34,@bbc
0.875,Sun Dec 10 00:02:16 +0000 2017,0,0.607,0.393,35,@bbc
0,Sun Dec 10 00:02:09 +0000 2017,0,1,0,36,@bbc
0.875,Sun Dec 10 00:02:03 +0000 2017,0,0.607,0.393,37,@bbc
0,Sun Dec 10 00:02:01 +0000 2017,0,1,0,38,@bbc
