station,date,prcp,tobs,name,latitude,longitude,elevation
USC00519397,8/23/17,0,81,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3
USC00514830,8/23/17,0,82,"KUALOA RANCH HEADQUARTERS 886.9, HI US",21.5213,-157.8374,7
USC00519523,8/23/17,0.08,82,"WAIMANALO EXPERIMENTAL FARM, HI US",21.33556,-157.71139,19.5
USC00516128,8/23/17,0.45,76,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025,152.4
USC00519397,8/22/17,0,82,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3
USC00519523,8/22/17,0,82,"WAIMANALO EXPERIMENTAL FARM, HI US",21.33556,-157.71139,19.5
USC00516128,8/22/17,0.5,76,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025,152.4
USC00519397,8/21/17,0,81,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3
USC00514830,8/21/17,0.02,79,"KUALOA RANCH HEADQUARTERS 886.9, HI US",21.5213,-157.8374,7
USC00516128,8/21/17,0.56,76,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025,152.4
USC00519397,8/20/17,0,81,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3
USC00514830,8/20/17,0.01,80,"KUALOA RANCH HEADQUARTERS 886.9, HI US",21.5213,-157.8374,7
USC00519397,8/19/17,0,79,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3
USC00514830,8/19/17,0,80,"KUALOA RANCH HEADQUARTERS 886.9, HI US",21.5213,-157.8374,7
USC00516128,8/19/17,0.09,71,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025,152.4
USC00519397,8/18/17,0,80,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3
USC00514830,8/18/17,0,77,"KUALOA RANCH HEADQUARTERS 886.9, HI US",21.5213,-157.8374,7
USC00519281,8/18/17,0.06,79,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9
USC00514830,8/17/17,0,78,"KUALOA RANCH HEADQUARTERS 886.9, HI US",21.5213,-157.8374,7
USC00519523,8/17/17,0.05,83,"WAIMANALO EXPERIMENTAL FARM, HI US",21.33556,-157.71139,19.5
USC00519281,8/17/17,0.01,76,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9
USC00516128,8/17/17,0.13,72,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025,152.4
USC00514830,8/16/17,0,82,"KUALOA RANCH HEADQUARTERS 886.9, HI US",21.5213,-157.8374,7
USC00519523,8/16/17,0.07,79,"WAIMANALO EXPERIMENTAL FARM, HI US",21.33556,-157.71139,19.5
USC00519281,8/16/17,0.12,76,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9
USC00516128,8/16/17,0.42,71,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025,152.4
USC00519397,8/15/17,0.02,78,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3
USC00514830,8/15/17,0,82,"KUALOA RANCH HEADQUARTERS 886.9, HI US",21.5213,-157.8374,7
USC00519523,8/15/17,0.06,79,"WAIMANALO EXPERIMENTAL FARM, HI US",21.33556,-157.71139,19.5
USC00519281,8/15/17,0.32,77,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9
USC00516128,8/15/17,0.42,70,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025,152.4
USC00519397,8/14/17,0,79,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3
USC00514830,8/14/17,0.01,81,"KUALOA RANCH HEADQUARTERS 886.9, HI US",21.5213,-157.8374,7
USC00519523,8/14/17,0.08,75,"WAIMANALO EXPERIMENTAL FARM, HI US",21.33556,-157.71139,19.5
USC00519281,8/14/17,0,77,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9
USC00516128,8/14/17,0.22,79,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025,152.4
USC00519397,8/13/17,0,81,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3
USC00519523,8/13/17,0,84,"WAIMANALO EXPERIMENTAL FARM, HI US",21.33556,-157.71139,19.5
USC00519281,8/13/17,0,77,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9
USC00519397,8/12/17,0,80,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3
USC00519523,8/12/17,0,83,"WAIMANALO EXPERIMENTAL FARM, HI US",21.33556,-157.71139,19.5
USC00516128,8/12/17,0.14,74,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025,152.4
