Country,City,Latitude,Longitude,Temperature,Humidity %,Wind Speed,Cloudiness %
RU,vostok,46.45,135.83,-10.34,67,2.95,32
,amderma,,,,,,
NE,ouallam,14.32,2.08,71.75,35,10.67,0
GR,saint george,39.45,22.34,42.8,87,3.36,0
US,dickinson,46.88,-102.79,23,73,12.75,90
FR,guipavas,48.43,-4.4,51.8,93,6.93,90
AR,comodoro rivadavia,-45.87,-67.48,89.6,24,20.8,40
RU,severnoye,54.09,52.54,-0.3,77,12.01,12
MZ,inhambane,-23.87,35.38,76.65,95,11.01,92
IN,manali,32.25,77.19,-9.48,56,1.83,68
US,hayden,47.77,-116.79,50,75,4.97,90
RU,khandyga,62.65,135.58,-38.87,80,2.73,36
GL,qaqortoq,60.72,-46.03,28.4,86,4.7,90
CL,coihaique,-45.58,-72.07,68,49,10.29,40
MX,reforma,24.02,-104.65,51.8,71,5.82,90
RU,pestravka,52.4,49.95,1.68,71,14.81,0
ES,fuengirola,36.54,-4.62,59,72,17.22,20
CA,geraldton,49.72,-86.95,-4.01,70,2.24,75
,karamay,,,,,,
CA,thunder bay,48.41,-89.26,5,60,10.29,75
KZ,shu,43.6,73.76,1.77,38,8.99,8
RU,pevek,69.7,170.27,17.57,84,10.22,0
UY,rocha,-34.48,-54.34,77.37,39,12.01,0
,kamenskoye,,,,,,
RU,nadym,65.53,72.51,6.63,72,11.68,32
ZW,norton,-17.87,30.7,66.17,95,5.64,76
RU,russkaya polyana,53.78,73.88,-1.29,70,8.77,36
MY,sibu,2.29,111.83,73.4,94,5.82,75
AU,cairns,-16.92,145.77,75.2,88,4.7,0
US,southport,42.05,-76.82,39.2,64,3.36,1
CL,melipilla,-33.69,-71.21,86,28,18.34,0
BR,carutapera,-1.2,-46.02,80.75,85,8.77,80
IN,tezu,27.93,96.16,44.25,99,1.16,0
JP,gotemba,35.3,138.88,32,76,9.17,75
SA,faya,18.39,42.45,57.2,76,16.11,40
TR,usak,38.67,29.41,28.4,86,3.36,0
AU,murray bridge,-35.12,139.28,63.06,100,20.4,92
CK,avarua,-21.21,-159.78,82.4,83,9.17,75
NZ,pareora,-44.49,171.21,73.55,78,3.51,0
GL,narsaq,60.91,-46.05,28.4,86,4.7,90
PK,nabisar,25.07,69.64,55.14,89,2.84,0
NA,aranos,-24.14,19.11,69.77,74,6.08,8
TL,airai,-8.93,125.41,74.94,72,7.99,92
ZA,kruisfontein,-34,24.73,70.49,82,8.43,12
DZ,tigzirt,36.57,4.2,43.35,96,1.72,0
RU,batagay-alyta,67.8,130.41,-31.35,49,2.39,68
RU,dikson,73.51,80.55,18.02,95,8.1,80
PE,huarmey,-10.07,-78.15,76.92,60,3.29,12
US,mexico,44.56,-70.55,32,41,8.05,40
RU,mikhaylovka,52.96,103.29,-3.59,61,2.73,64
,aflu,,,,,,
CA,tuktoyaktuk,69.44,-133.03,-16.61,82,12.75,75
RU,verkhniy landekh,56.84,42.6,18.6,83,16.6,76
GB,winslow,51.94,-0.88,41,75,12.75,0
CA,pangnirtung,66.15,-65.72,-14.81,68,3.18,75
CA,saint-philippe,45.36,-73.48,19.4,67,6.93,90
MK,poum,41.28,20.71,23.82,77,1.16,0
GL,nanortalik,60.14,-45.24,25.35,99,13.47,88
RU,okhotsk,59.36,143.24,10.41,93,11.79,56
NP,siraha,26.66,86.21,48.62,86,2.95,0
AR,alamos,-36.9,-62.36,89.07,24,19.28,0
,saleaula,,,,,,
BR,itarema,-2.92,-39.92,79.8,83,11.68,76
EC,san cristobal,-0.39,-78.55,68,45,23.04,75
,samusu,,,,,,
TZ,gairo,-6.14,36.87,63.29,86,3.18,12
IN,port blair,11.67,92.75,80.16,100,12.8,8
SV,san vicente,13.64,-88.78,89.6,38,13.87,0
,karaul,,,,,,
NO,longyearbyen,78.22,15.63,14,72,14.99,75
,severnyy,,,,,,
GE,khani,41.96,42.96,37.4,93,8.05,90
,stoyba,,,,,,
RU,ostrovnoy,68.05,39.51,-3.27,74,4.97,24
AR,reconquista,-29.14,-59.64,89.34,44,12.68,0
,ijaki,,,,,,
RU,alekseyevsk,57.84,108.35,-0.17,73,6.08,64
AR,santa rosa,-36.62,-64.29,91.68,22,24.32,0
CL,copiapo,-27.37,-70.33,71.6,60,11.41,75
LV,liepaja,56.52,21.02,41,93,17.22,92
NG,adeje,5.68,5.76,81.24,70,12.68,0
AU,charters towers,-20.07,146.27,74.9,88,4.41,44
NC,poya,-21.35,165.16,80.25,96,19.06,0
VN,cam ranh,11.92,109.15,72.24,100,13.02,80
CL,ancud,-41.87,-73.83,63.29,71,7.43,48
ML,kidal,18.44,1.41,66.12,45,8.99,92
PY,san patricio,-26.98,-56.83,85.74,68,6.31,0
CN,shenjiamen,29.96,122.3,38.99,100,16.71,36
NZ,tuatapere,-46.13,167.69,70.35,74,10.67,0
ZA,cape town,-33.93,18.42,75.2,57,6.93,0
,mys shmidta,,,,,,
RU,talnakh,69.49,88.39,6.99,85,13.24,76
IN,mansa,23.43,72.66,60.8,77,2.95,0
BR,vila velha,-3.71,-38.6,82.4,74,13.87,75
RU,chernyshevskiy,63.01,112.47,0.6,81,7.54,56
CA,chapais,49.78,-74.86,-5.81,76,5.82,90
ZA,port alfred,-33.59,26.89,74.49,75,16.26,0
EG,aswan,24.09,32.9,60.8,29,9.17,0
RU,novokayakent,42.39,47.99,28.4,79,11.18,40
MG,mahajanga,-15.72,46.32,82.4,88,4.7,40
IT,gela,37.07,14.25,46.4,93,3.36,20
RU,troitskoye,52.98,84.68,4.97,69,11.45,88
GF,cayenne,4.94,-52.33,82.4,74,11.41,75
IN,karanpura,29.1,75.09,48.44,83,2.73,0
ID,teluknaga,-6.1,106.64,77,94,6.93,40
ID,amahai,-3.31,129,84.66,100,15.48,24
MU,bambous virieux,-20.34,57.76,80.6,83,8.05,75
YE,sayyan,15.17,44.32,38.31,77,1.83,44
GB,brae,60.4,-1.35,41,93,21.92,20
NO,hellvik,59.92,5.78,39.2,86,9.17,40
US,key west,47.93,-96.78,6.8,77,4.7,1
IN,kakching,24.5,93.98,39.66,86,2.28,0
US,vardo,39.62,-77.74,46.4,52,8.05,90
IN,manjeshwar,12.72,74.89,75.2,88,3.36,0
US,ketchikan,55.34,-131.65,39.2,80,20.8,90
AW,oranjestad,12.52,-70.03,84.2,70,24.16,40
CA,yellowknife,62.45,-114.38,-11.21,76,14.99,75
AU,rockhampton,-23.38,150.51,75.2,78,5.82,12
US,wauwatosa,43.05,-88.01,23,62,11.41,75
BR,pitimbu,-7.47,-34.81,82.4,69,13.87,40
LY,ajdabiya,30.75,20.22,48.57,91,8.1,0
CA,la ronge,55.1,-105.3,-16.61,75,8.05,20
,chugunash,,,,,,
ES,barcelona,41.38,2.18,51.8,76,2.24,0
IN,kavaratti,10.57,72.64,82.05,100,6.76,0
US,galle,29.74,-97.91,69.8,15,12.75,1
,borujan,,,,,,
RU,romanovskaya,47.54,42.02,32.28,98,7.2,92
AU,kununurra,-15.77,128.74,78.8,94,5.82,75
AU,flinders,-34.58,150.85,64.4,100,6.93,0
CN,qianguo,45.12,124.86,-17.13,49,4.18,8
RU,severo-kurilsk,50.68,156.12,24.99,100,12.8,80
AU,victoria point,-27.58,153.3,73.4,94,21.74,75
AU,bluff,-23.58,149.07,75.12,78,4.18,12
MX,tomatlan,19.93,-105.25,74.76,64,4.41,80
TR,sinop,42.03,35.15,47.4,99,14.81,24
BG,mugla,41.62,24.49,44.6,56,5.82,0
RU,bogorodskoye,52.37,140.44,-3.18,73,8.66,68
CL,coquimbo,-29.95,-71.34,68,64,11.41,20
RU,kharp,66.82,65.8,5.28,76,11.68,0
CA,kelvington,52.16,-103.52,-5.39,80,8.55,48
,tawkar,,,,,,
CA,thompson,55.74,-97.86,-7.61,63,4.7,75
BR,caucaia,-3.73,-38.66,82.4,74,13.87,75
RU,inta,66.04,60.13,18.42,76,8.21,76
,barentsburg,,,,,,
LK,hambantota,6.12,81.12,79.04,100,14.25,76
KI,butaritari,3.07,172.79,81.87,100,15.37,92
AU,margate,-43.03,147.26,57.2,62,10.29,75
SY,sinjar,35.59,37,39.8,95,6.42,0
PE,lima,-12.06,-77.04,70.44,70,2.39,32
SZ,big bend,-26.79,31.94,64.4,100,9.17,24
US,superior,39.95,-105.17,57.2,34,5.82,1
